"id","legacy_id","type","public_id","name","description","wikipedia_id","comments","dfc_id","duke_id","eafus_id","dfc_name","compound_source","metabolism","synthesis_citations","general_citations","creator_id","updater_id","created_at","updated_at"
1,10930,,"FDBN00001","Fat",,,,,"FAT",,,"DUKE",,,,,,"2014-11-05 13:42:10 UTC","2014-11-05 13:42:10 UTC"
2,10946,,"FDBN00002","Proteins",,,,,"PROTEIN|PROTEINS",,,"DUKE",,,,,,"2014-11-05 13:42:15 UTC","2014-11-05 13:42:15 UTC"
3,16037,,"FDBN00003","Carbohydrate","Carbohydrates (or saccharides) are organic compounds with the empirical formula Cm(H2O)n. The carbohydrates  are divided into four chemical groupings: monosaccharides, disaccharides, oligosaccharides, and polysaccharides. The monosaccharides and disaccharides are commonly referred to as sugars. [Wikipedia]","Carbohydrate",,,"CARBOHYDRATE|CARBOHYDRATES",,,"DUKE",,,,,,"2014-11-05 13:44:06 UTC","2014-11-05 13:44:06 UTC"
5,11134,,"FDBN00005","Fiber (dietary)",,,,,"FATTY-ACIDS",1335,,"EAFUS",,,,,,"2014-11-05 13:46:00 UTC","2014-11-05 13:46:00 UTC"
38,58928,,"FDBN00038","Energy",,,,,"FIBER(DIETARY)",,,"DUKE",,,,,,"2014-11-05 13:47:36 UTC","2014-11-05 13:47:36 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:49:16 UTC","2014-11-05 13:49:16 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:49:19 UTC","2014-11-05 13:49:19 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:49:38 UTC","2014-11-05 13:49:38 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:49:52 UTC","2014-11-05 13:49:52 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:49:59 UTC","2014-11-05 13:49:59 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:50:04 UTC","2014-11-05 13:50:04 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:51:16 UTC","2014-11-05 13:51:16 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:51:34 UTC","2014-11-05 13:51:34 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:51:45 UTC","2014-11-05 13:51:45 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:51:57 UTC","2014-11-05 13:51:57 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:53:09 UTC","2014-11-05 13:53:09 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:53:16 UTC","2014-11-05 13:53:16 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:53:17 UTC","2014-11-05 13:53:17 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:53:23 UTC","2014-11-05 13:53:23 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:53:26 UTC","2014-11-05 13:53:26 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:54:38 UTC","2014-11-05 13:54:38 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:55:48 UTC","2014-11-05 13:55:48 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:55:49 UTC","2014-11-05 13:55:49 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:56:45 UTC","2014-11-05 13:56:45 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:57:50 UTC","2014-11-05 13:57:50 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:58:07 UTC","2014-11-05 13:58:07 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:58:11 UTC","2014-11-05 13:58:11 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:58:16 UTC","2014-11-05 13:58:16 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:58:33 UTC","2014-11-05 13:58:33 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:59:36 UTC","2014-11-05 13:59:36 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 13:59:37 UTC","2014-11-05 13:59:37 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 14:00:03 UTC","2014-11-05 14:00:03 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 14:00:09 UTC","2014-11-05 14:00:09 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 14:00:14 UTC","2014-11-05 14:00:14 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 14:01:10 UTC","2014-11-05 14:01:10 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 14:01:15 UTC","2014-11-05 14:01:15 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 14:02:21 UTC","2014-11-05 14:02:21 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2014-11-05 14:02:28 UTC","2014-11-05 14:02:28 UTC"
,,,,,,,,,,,,"TABLES",,,,,,"2019-08-02 19:45:58 UTC","2019-08-02 19:45:58 UTC"
